time_s,force_z_n,ee_x_m,ee_y_m,ee_z_m
0.000000,19.72516608,-0.37155347,0.19484973,0.32854353
4.921825,19.91877610,-0.37156793,0.19483608,0.32839736
4.972104,20.91717177,-0.37161877,0.19480409,0.32798203
5.025835,20.50059617,-0.37165167,0.19478313,0.32749308
5.063187,20.61135655,-0.37166446,0.19478288,0.32699385
5.114582,20.95151479,-0.37166650,0.19479516,0.32645691
5.170871,20.59326405,-0.37165958,0.19481457,0.32590104
5.218760,20.56440513,-0.37164496,0.19483851,0.32534278
5.264504,20.60597354,-0.37162241,0.19486464,0.32479908
5.311702,20.74162492,-0.37159665,0.19488877,0.32427250
5.360598,20.41436555,-0.37156836,0.19491002,0.32377083
5.414035,20.57997868,-0.37153807,0.19492789,0.32330033
5.465252,20.70840147,-0.37150697,0.19494187,0.32286423
5.509786,20.56661445,-0.37147606,0.19495167,0.32246444
5.564952,20.46657090,-0.37142218,0.19496086,0.32211280
5.617390,20.93452248,-0.37136236,0.19496615,0.32180549
5.664967,20.59813130,-0.37130682,0.19496071,0.32152964
5.715154,20.87953273,-0.37126002,0.19494263,0.32128074
5.760401,20.42713724,-0.37122478,0.19491201,0.32105589
5.814248,20.87940114,-0.37120666,0.19486608,0.32084682
5.861159,20.79304755,-0.37120814,0.19480511,0.32064967
5.915234,20.95858902,-0.37123009,0.19473075,0.32046259
5.965485,21.04451271,-0.37127138,0.19464603,0.32028575
6.014230,20.89646958,-0.37132838,0.19455572,0.32012182
6.061077,20.84979391,-0.37139813,0.19446381,0.31997112
6.122493,20.75364283,-0.37147834,0.19437255,0.31983321
6.167094,20.57382723,-0.37155883,0.19429321,0.31971686
6.218105,20.64950270,-0.37162701,0.19423353,0.31962742
6.263133,20.94526448,-0.37168250,0.19419246,0.31956233
6.318583,20.73450685,-0.37172642,0.19416753,0.31951736
6.367046,20.38715891,-0.37176011,0.19415578,0.31948818
6.418067,21.11910052,-0.37178490,0.19415465,0.31947085
6.464198,20.56378305,-0.37180227,0.19416166,0.31946164
6.515226,20.59967077,-0.37181317,0.19417517,0.31945889
6.562930,20.54705682,-0.37181797,0.19419360,0.31946100
6.614560,20.55187960,-0.37178217,0.19428172,0.31941383
6.667826,20.61594795,-0.37172048,0.19447935,0.31926674
6.718124,20.89069081,-0.37166137,0.19473687,0.31906285
6.762693,21.08877169,-0.37162076,0.19503259,0.31886765
6.816974,20.70471465,-0.37160309,0.19539351,0.31871339
6.863675,20.66237342,-0.37163066,0.19584553,0.31860115
6.912821,21.02113476,-0.37168819,0.19635614,0.31853472
6.964102,20.82199785,-0.37179290,0.19690351,0.31853509
7.014174,20.98353220,-0.37196389,0.19749738,0.31854043
7.067786,20.89491925,-0.37221787,0.19816374,0.31861389
7.113406,20.67101552,-0.37252791,0.19888491,0.31874921
7.165551,20.71914345,-0.37292081,0.19966897,0.31891989
7.213312,20.94397064,-0.37338527,0.20051883,0.31913616
7.267984,20.97596601,-0.37390729,0.20143254,0.31939506
7.317522,20.61974311,-0.37449535,0.20241070,0.31969457
7.362466,20.50129706,-0.37513852,0.20339897,0.32004148
7.414107,20.89247864,-0.37585883,0.20444808,0.32044145
7.460034,20.79689015,-0.37663633,0.20557785,0.32089103
7.515569,20.80966620,-0.37749175,0.20674086,0.32138280
7.564842,20.92213044,-0.37843873,0.20792585,0.32192440
7.618010,20.96596556,-0.37943716,0.20920175,0.32254090
7.666405,20.58099393,-0.38049773,0.21052038,0.32319449
7.715592,20.81332740,-0.38162489,0.21187721,0.32387166
7.759755,20.93643787,-0.38282585,0.21324596,0.32459416
7.814945,20.52373436,-0.38406592,0.21468033,0.32535953
7.864566,20.53042577,-0.38539206,0.21612999,0.32615265
7.915055,20.67995108,-0.38678612,0.21761336,0.32696610
7.965054,20.79664942,-0.38821824,0.21911333,0.32783421
8.012786,20.90980622,-0.38971265,0.22063619,0.32877669
8.075572,20.61626647,-0.39125614,0.22218165,0.32974711
8.110596,20.67504847,-0.39284359,0.22375564,0.33074584
8.166199,20.27246025,-0.39446444,0.22535805,0.33178446
8.215010,20.88170757,-0.39610783,0.22700885,0.33283563
8.260958,20.62636975,-0.39778965,0.22865317,0.33392803
8.316346,20.33321509,-0.39950825,0.23030297,0.33504644
8.368170,20.14288731,-0.40127108,0.23194450,0.33616999
8.416514,20.50196433,-0.40306189,0.23356080,0.33732706
8.465822,20.50325517,-0.40485545,0.23520417,0.33851369
8.511179,20.34968215,-0.40665358,0.23687393,0.33969896
8.566112,20.29414458,-0.40848856,0.23852939,0.34090166
8.612027,19.97098269,-0.41035914,0.24016279,0.34209143
8.665367,20.30979849,-0.41223208,0.24179257,0.34328082
8.716166,20.33978754,-0.41411960,0.24342001,0.34449682
8.767902,20.12283189,-0.41598642,0.24502019,0.34571272
8.815548,20.17636869,-0.41785153,0.24659569,0.34694013
8.862605,20.23589697,-0.41974060,0.24810907,0.34818807
8.914412,20.22892305,-0.42161824,0.24960951,0.34940244
8.962713,20.16016018,-0.42349236,0.25103425,0.35061469
9.014290,19.95513224,-0.42535774,0.25244163,0.35182357
9.066053,19.98440364,-0.42718094,0.25381000,0.35301818
9.116385,19.88030267,-0.42898764,0.25516389,0.35421710
9.161179,19.41762237,-0.43077129,0.25650653,0.35537567
9.217980,19.57992397,-0.43254296,0.25782944,0.35649013
9.268543,19.53208163,-0.43427766,0.25915011,0.35756256
9.319828,19.33269334,-0.43599418,0.26037340,0.35863076
9.364343,19.77270477,-0.43765526,0.26155421,0.35967848
9.418192,19.50991989,-0.43927936,0.26269645,0.36071473
9.460667,19.35774908,-0.44088482,0.26379563,0.36173074
9.514139,18.93563565,-0.44244538,0.26482026,0.36273634
9.567630,19.76758351,-0.44399290,0.26580029,0.36369172
9.616306,19.70832367,-0.44549312,0.26675616,0.36461352
9.665976,19.39154954,-0.44695274,0.26767313,0.36551783
9.711110,19.83699415,-0.44837416,0.26856578,0.36639181
9.761918,19.29859522,-0.44974600,0.26942728,0.36725813
9.814734,19.19662112,-0.45106917,0.27022580,0.36811233
9.865611,19.04283868,-0.45236950,0.27097520,0.36893948
9.915935,18.92041339,-0.45362363,0.27169736,0.36972594
9.966168,19.01005646,-0.45484071,0.27236107,0.37047125
10.015904,19.27501187,-0.45599393,0.27300414,0.37119358
10.066518,19.26742129,-0.45710235,0.27361707,0.37192802
10.112409,19.00066257,-0.45818208,0.27417550,0.37266150
10.165380,19.56681809,-0.45922439,0.27471117,0.37335520
10.216180,18.94076943,-0.46021552,0.27520784,0.37402642
10.265327,19.09232075,-0.46116250,0.27569402,0.37465384
10.314572,18.79765074,-0.46205869,0.27616107,0.37523406
10.365429,19.11067455,-0.46293946,0.27656405,0.37578794
10.410502,18.97964983,-0.46380407,0.27690666,0.37632455
10.465096,18.80319816,-0.46461101,0.27722868,0.37682267
10.515851,18.72017215,-0.46538548,0.27752829,0.37731192
10.565281,18.94182160,-0.46612192,0.27783639,0.37777791
10.615180,18.65505567,-0.46681052,0.27811369,0.37823469
10.665202,18.96957990,-0.46747805,0.27834551,0.37867355
10.715749,18.85945558,-0.46808630,0.27857582,0.37909547
10.765471,18.82254730,-0.46866193,0.27876403,0.37949751
10.825383,18.72619932,-0.46920936,0.27892363,0.37985315
10.866848,18.74636253,-0.46971838,0.27906042,0.38017640
10.915640,18.73059162,-0.47016778,0.27920357,0.38048078
10.965198,19.09984135,-0.47059516,0.27935452,0.38078473
11.015201,18.77134550,-0.47101334,0.27948101,0.38111446
11.064901,18.77773426,-0.47140621,0.27959051,0.38141347
11.114455,18.52313303,-0.47179614,0.27971485,0.38167444
11.165424,18.83627100,-0.47218201,0.27978693,0.38191455
11.214588,19.14458873,-0.47256368,0.27984753,0.38217092
11.264991,18.72405968,-0.47292157,0.27989357,0.38242612
11.314993,18.44867720,-0.47325176,0.27995135,0.38266080
11.365153,18.83870294,-0.47357047,0.27998329,0.38286944
11.414773,18.84823119,-0.47387331,0.28000048,0.38306643
11.460466,18.50196344,-0.47414468,0.28002953,0.38325672
11.514473,18.55244605,-0.47441495,0.28006122,0.38340913
11.560342,18.85155665,-0.47466333,0.28006744,0.38354548
11.615044,18.57610632,-0.47487564,0.28009071,0.38368113
11.666255,18.84528418,-0.47506211,0.28010855,0.38380624
11.716179,18.52569244,-0.47525460,0.28013253,0.38393266
11.764371,19.01211610,-0.47545010,0.28016027,0.38405455
11.828841,18.46869136,-0.47563203,0.28019003,0.38419011
11.866877,18.81914964,-0.47580775,0.28021416,0.38430017
11.914930,18.87840421,-0.47595065,0.28025883,0.38442246
11.967096,18.51898020,-0.47608089,0.28027735,0.38455060
12.010744,18.68652681,-0.47621010,0.28031720,0.38467394
12.066353,18.96357770,-0.47634512,0.28036506,0.38478363
12.111677,18.71278039,-0.47649439,0.28036994,0.38487586
12.161612,18.41929714,-0.47664440,0.28036377,0.38494585
12.214205,18.66884024,-0.47680096,0.28036872,0.38498984
12.262674,18.50713599,-0.47696521,0.28036920,0.38503249
12.314512,18.50657334,-0.47712065,0.28036889,0.38503421
12.361068,18.51495935,-0.47726994,0.28037792,0.38497421
12.416843,18.17514383,-0.47739968,0.28037936,0.38484887
12.461345,18.73537380,-0.47752060,0.28040281,0.38465249
12.518224,18.38278177,-0.47762290,0.28042562,0.38440944
12.568861,18.60211542,-0.47772383,0.28042745,0.38410539
12.614150,18.70060001,-0.47779219,0.28045378,0.38375247
12.663824,18.61030041,-0.47788244,0.28046255,0.38336367
12.713925,18.66295125,-0.47796047,0.28045996,0.38295487
12.767967,18.52474566,-0.47801450,0.28046627,0.38250087
12.814386,18.55049389,-0.47808034,0.28046823,0.38197088
12.868622,18.59703493,-0.47812200,0.28048438,0.38140798
12.918572,18.41627137,-0.47815587,0.28051577,0.38080104
12.967975,18.87640280,-0.47820209,0.28055226,0.38016541
13.017131,18.87409618,-0.47824682,0.28058960,0.37952415
13.069580,18.40899093,-0.47828725,0.28061427,0.37886485
13.119452,18.90291610,-0.47832643,0.28064057,0.37813685
13.167437,18.84741503,-0.47835450,0.28069186,0.37738767
13.213737,18.47134370,-0.47836883,0.28071920,0.37661459
13.268386,18.50319145,-0.47839303,0.28074315,0.37580930
13.318545,18.50353683,-0.47841785,0.28073808,0.37498850
13.369441,18.64843203,-0.47845847,0.28073401,0.37413150
13.414351,18.39148873,-0.47848098,0.28075020,0.37325841
13.464958,18.67342692,-0.47849013,0.28076403,0.37236451
13.511108,18.74814094,-0.47846918,0.28080183,0.37145738
13.565948,18.65101731,-0.47846530,0.28083553,0.37055636
13.614222,18.80620070,-0.47847094,0.28084632,0.36966761
13.666189,18.66051109,-0.47845838,0.28087315,0.36877184
13.715257,18.78350279,-0.47846898,0.28088808,0.36788729
