time_s,force_z_n,ee_x_m,ee_y_m,ee_z_m
0.000000,-11.08609200,0.23100972,-0.20477706,0.52312821
0.033333,-6.98910761,0.23103637,-0.20475842,0.52305597
0.066667,-2.70406318,0.23106892,-0.20472851,0.52299267
0.100000,-4.56327295,0.23109429,-0.20469885,0.52293646
0.133333,-2.74162769,0.23111229,-0.20467061,0.52289951
0.166667,-8.07354927,0.23112455,-0.20465383,0.52286696
0.200000,-10.78139400,0.23114027,-0.20464148,0.52281976
0.233333,-12.67783928,0.23116298,-0.20462763,0.52276206
0.266667,-12.60167599,0.23118624,-0.20461360,0.52270448
0.300000,-10.97934437,0.23121001,-0.20460142,0.52264774
0.333333,-10.50139427,0.23123296,-0.20459631,0.52259308
0.366667,-11.48149872,0.23125178,-0.20460373,0.52255464
0.400000,-0.74746144,0.23127073,-0.20461404,0.52254069
0.433333,0.27387449,0.23128821,-0.20461755,0.52253157
0.466667,0.94441652,0.23130700,-0.20461562,0.52252305
0.500000,2.00330234,0.23132822,-0.20460631,0.52251822
0.533333,-1.03503144,0.23135610,-0.20459147,0.52252042
0.566667,-2.35703421,0.23138735,-0.20458655,0.52252126
0.600000,-1.11633837,0.23141411,-0.20459034,0.52251089
0.633333,-0.50411558,0.23143733,-0.20459569,0.52248812
0.666667,-0.13374232,0.23145878,-0.20460080,0.52245528
0.700000,0.07814839,0.23147948,-0.20460500,0.52241737
0.733333,0.39019370,0.23149754,-0.20460947,0.52238292
0.766667,0.37127340,0.23151493,-0.20461431,0.52235073
0.800000,0.60340214,0.23153308,-0.20461880,0.52231836
0.833333,0.43998295,0.23155323,-0.20462300,0.52228451
0.866667,0.71606040,0.23157427,-0.20462893,0.52223867
0.900000,-0.04596266,0.23159799,-0.20463455,0.52219224
0.933333,-0.45904678,0.23162000,-0.20463939,0.52215523
0.966667,-1.21004999,0.23164178,-0.20464396,0.52211970
1.000000,-1.67315269,0.23166576,-0.20464775,0.52208084
1.033333,-1.99123824,0.23169288,-0.20464994,0.52203751
1.066667,-2.18214726,0.23172057,-0.20465083,0.52199507
1.100000,-2.08493733,0.23174949,-0.20465000,0.52195168
1.133333,-3.07612181,0.23177958,-0.20464776,0.52190310
1.166667,-2.61715436,0.23180072,-0.20464787,0.52187055
1.200000,-2.05438542,0.23182428,-0.20464608,0.52183568
1.233333,-1.37622774,0.23184589,-0.20464413,0.52180368
1.266667,-2.15391207,0.23186910,-0.20464146,0.52176923
